,Pre,Post
AVG_713,12350.5,5106.666666666667
AVG_714,10554.166666666666,5393.333333333333
AVG_715,7146.166666666667,5783.333333333333
AVG_716,7995.000000000001,5756.666666666668
AVG_717,7047.333333333333,6218.88888888889
AVG_718,11159.333333333334,5505.333333333333
AVG_719,10098.666666666666,4170.666666666667
AVG_720,9473.0,3806.6666666666665
AVG_721,11975.333333333334,3498.0
AVG_722,10302.666666666666,3259.333333333333
AVG_723,12561.333333333336,5614.0
AVG_724,11796.166666666666,3.0000000000000004
AVG_725,9225.333333333334,29.66666666666666
AVG_726,10335.22222222222,3434.6666666666665
AVG_727,8502.666666666666,1999.666666666667
AVG_728,,5242.166666666667
